time,original,ema,median,kalman,butterworth
28827279,162,188.0023941467513,202.0,188.97359052868146,159.8414195143966
28852283,137,167.60143648805078,202.0,174.932602194085,137.59038270354554
28877286,151,160.96086189283045,202.0,168.46706104510005,111.11721696333947
28902290,81,128.97651713569826,202.0,144.83729116961013,75.94002550399345
28927298,26,87.78591028141896,194.0,112.73265875814087,36.701873091522515
28952306,6,55.07154616885138,162.0,83.89816798505285,-1.6365627084064442
28977313,-63,7.8429277013108205,151.0,44.212715391326796,-37.84843290824837
29002317,-71,-23.69424337921351,137.0,13.087284641760277,-69.49617215032458
29027321,-96,-52.61654602752811,81.0,-16.383322940421273,-98.49168234915831
29052325,-143,-88.76992761651687,26.0,-50.58960477461215,-126.10050743100311
29077333,-149,-112.86195656991012,6.0,-77.1757843574941,-150.6442464909723
29102333,-183,-140.9171739419461,-63.0,-105.7648535797613,-172.7192490200263
29127336,-221,-172.95030436516765,-71.0,-136.89634421112703,-189.5943852756463
29152340,-198,-182.9701826191006,-96.0,-153.4038763905577,-199.02258503910406
29177344,-223,-198.98210957146034,-143.0,-172.2057015058352,-203.3907413776173
29202352,-220,-207.3892657428762,-149.0,-185.11762813608132,-201.94665536099546
29227356,-204,-206.03355944572573,-183.0,-190.21881818998926,-193.67896224064168
29252360,-157,-186.42013566743543,-183.0,-181.24454810492895,-184.2261483285653
29277367,-196,-190.25208140046126,-196.0,-185.2308250933556,-177.41280457439305
29302375,-186,-188.55124884027674,-196.0,-185.4386224724014,-167.67832828035057
29327379,-165,-179.13074930416605,-196.0,-179.9170016493828,-150.76608423487596
29352383,-135,-161.47844958249962,-196.0,-167.78239463515322,-128.32984985211192
29377387,-103,-138.0870697494998,-196.0,-150.28102830454642,-103.04948251109138
29402391,-87,-117.65224184969986,-186.0,-133.18526541444797,-75.94812269451185
29427394,-40,-86.59134510981991,-165.0,-108.01068710782712,-47.32476133119974
29452398,-33,-65.15480706589194,-157.0,-87.74608402888751,-17.468247729000666
29477406,27,-28.292884239535166,-135.0,-56.7467166405381,13.440040413684585
29502406,35,-2.975730543721099,-103.0,-31.960771221269347,44.090214981082454
29527413,89,33.814561673767344,-87.0,0.717532516941155,73.629598266203
29552421,104,61.888737004260406,-40.0,28.619932684920414,100.57825532479802
29577425,135,91.13324220255623,-33.0,57.35916868941264,124.10585647185553
29602429,163,119.87994532153374,27.0,85.89869549525211,142.95751096442925
29627437,154,133.52796719292024,35.0,104.29668594377202,156.83436370469957
29652444,186,154.51678031575216,89.0,126.36934376656168,167.2929761933731
29677448,180,164.7100681894513,104.0,140.85799869477768,173.50760770455898
29702452,181,171.22604091367077,135.0,151.70260970434308,175.9229054847226
29727456,188,177.93562454820247,154.0,161.50857516744426,175.30648915224486
29752460,191,183.1613747289215,163.0,169.4758667829048,169.29994473492405
29777464,160,173.89682483735288,163.0,166.9159025086349,157.20883003481046
29802468,162,169.13809490241172,163.0,165.5878409089718,140.0282840172992
29827471,106,143.88285694144702,163.0,149.4898155353939,119.40364779585595
