xAccl,yAccl,zAccl,newPosition,time,low-pass_filtered
-748,89,750,0,16074643,-696.0502921
-758,89,734,0,16099651,-709.0489551
-749,97,752,0,16124658,-705.5471363
-732,79,745,0,16149662,-686.8205152
-691,82,760,0,16174670,-653.9243725
-665,66,794,0,16199670,-606.0945846
-568,57,847,0,16224678,-543.178067
-460,78,895,0,16249685,-474.0331897
-483,36,915,0,16274693,-400.2173686
-362,13,933,0,16299701,-308.7027181
-239,22,972,0,16324708,-196.6972949
-33,60,1019,0,16349720,-78.70453257
-16,-16,973,0,16374724,35.98840037
163,-3,990,0,16399728,151.9969183
234,-23,943,0,16424736,271.4138322
485,-127,911,0,16449740,383.2920991
524,-48,894,0,16474744,468.5434036
538,-47,851,0,16499744,526.9362562
564,-38,815,0,16524752,574.7836329
629,-59,789,0,16549765,619.0935916
696,-61,759,0,16574767,654.5557744
672,-67,745,0,16599771,677.323056
718,-69,733,0,16624780,690.4206962
739,-97,720,0,16649781,689.600257
690,-62,761,0,16674789,669.9550416
666,-67,776,0,16699793,634.0867374
608,-54,817,0,16724798,583.3330001
503,-37,855,0,16749799,522.5660945
526,-94,873,0,16774805,452.0102684
352,-53,917,0,16799813,365.9532749
256,-80,964,0,16824821,273.3043241
173,-14,960,0,16849828,183.1620356
199,-38,984,0,16874836,81.07045686
-153,-1,991,0,16899844,-35.91411223
-141,14,964,0,16924851,-144.8070823
-252,-5,961,0,16949859,-245.2106281
-388,59,929,0,16974867,-343.5786429
-478,60,910,0,16999875,-430.682099
-506,31,862,0,17024878,-507.0332104
-671,74,825,0,17049882,-571.9826263
-641,71,812,0,17074891,-617.6156286
-685,76,779,0,17099894,-647.8235269
-710,81,779,0,17124901,-666.9965871
-695,84,787,0,17149905,-674.8669991
-715,81,764,0,17174909,-673.347419
-733,86,781,0,17199917,-656.742425
-681,74,824,0,17224924,-616.8799471
-602,43,851,0,17249925,-554.4040599
-509,43,879,0,17274928,-475.4764797
-418,43,922,0,17299936,-384.7727273
-306,28,951,0,17324948,-285.0994131
-206,26,976,0,17349948,-178.3488955
-41,69,1000,0,17374956,-70.3233149
22,-18,990,0,17399963,31.91029899
143,-16,993,0,17424969,127.996197
209,-35,960,0,17449973,219.4828711
285,-15,946,0,17474977,310.6578972
415,-32,911,0,17499983,403.4592822
515,-73,851,0,17524988,490.3677842
616,-66,835,0,17549992,561.708979
668,-60,832,0,17574998,609.5179134
644,-70,789,0,17600002,634.9824202
656,-60,776,0,17625009,648.0661184
671,-70,773,0,17650013,653.1016211
685,-62,780,0,17675021,645.9276947
637,-50,812,0,17700021,623.794509
602,-49,812,0,17725029,590.0056213
569,-60,844,0,17750032,546.399742
534,-65,858,0,17775036,488.5179137
437,-47,911,0,17800040,412.7014671
318,-9,953,0,17825044,324.1417009
240,-65,964,0,17850048,229.657681
90,-3,966,0,17875052,134.7110628
86,57,1041,0,17900056,39.55872079
-160,53,1010,0,17925059,-53.084918
-52,-27,953,0,17950067,-141.1976724
-284,45,990,0,17975075,-235.2761667
-366,44,947,0,18000079,-328.1618855
-429,28,906,0,18025084,-409.7056386
-542,64,885,0,18050090,-480.5079738
-541,50,854,0,18075098,-540.0129466
-678,86,841,0,18100098,-587.0623891
-654,76,821,0,18125102,-614.600348
-666,74,805,0,18150106,-623.688872
-665,70,821,0,18175113,-618.6628145
