xAccl,yAccl,zAccl,time
423,-1,928,146.00000000000088
300,30,951,146.0200000000009
256,30,967,146.0400000000009
215,35,983,146.0600000000009
91,42,982,146.08000000000092
147,62,984,146.10000000000093
-9,34,995,146.12000000000094
-13,43,988,146.14000000000095
-149,56,1003,146.16000000000096
-132,58,990,146.18000000000097
-94,53,955,146.20000000000098
-279,109,983,146.220000000001
-381,95,970,146.240000000001
-390,91,956,146.260000000001
-374,108,948,146.28000000000102
-446,95,937,146.30000000000103
-452,105,932,146.32000000000104
-452,97,931,146.34000000000106
-455,98,926,146.36000000000107
-431,94,917,146.38000000000108
-445,98,930,146.40000000000109
-418,102,946,146.4200000000011
-402,97,941,146.4400000000011
-380,92,947,146.46000000000112
-357,90,959,146.48000000000113
-287,73,965,146.50000000000114
-224,80,978,146.52000000000115
-208,67,985,146.54000000000116
16,104,1032,146.56000000000117
-44,62,1007,146.58000000000118
21,60,1005,146.6000000000012
48,52,1004,146.6200000000012
73,35,987,146.6400000000012
138,43,984,146.66000000000122
181,50,977,146.68000000000123
282,23,977,146.70000000000124
241,42,963,146.72000000000125
269,44,977,146.74000000000126
406,21,929,146.76000000000127
413,36,930,146.78000000000128
426,34,920,146.8000000000013
449,23,913,146.8200000000013
469,20,908,146.8400000000013
471,26,905,146.86000000000132
466,21,905,146.88000000000133
459,16,908,146.90000000000134
448,23,921,146.92000000000135
428,14,916,146.94000000000136
384,25,936,146.96000000000137
350,35,936,146.98000000000138
341,29,948,147.0000000000014
273,24,966,147.0200000000014
224,46,976,147.0400000000014
171,59,996,147.06000000000142
200,26,985,147.08000000000143
136,23,998,147.10000000000144
9,37,1005,147.12000000000145
-55,50,999,147.14000000000146
-96,58,999,147.16000000000147
-147,65,989,147.18000000000148
-244,80,996,147.2000000000015
-188,56,975,147.2200000000015
-258,88,978,147.24000000000152
-221,93,977,147.26000000000153
-381,96,957,147.28000000000154
-366,92,958,147.30000000000155
-397,89,942,147.32000000000156
-409,98,946,147.34000000000157
-421,98,944,147.36000000000158
-416,91,939,147.3800000000016
-409,86,945,147.4000000000016
-395,89,957,147.4200000000016
-356,95,956,147.44000000000162
-334,89,965,147.46000000000163
-316,68,962,147.48000000000164
-264,72,981,147.50000000000165
-207,70,984,147.52000000000166
-198,68,993,147.54000000000167
-188,57,1007,147.56000000000168
-43,45,1002,147.5800000000017
2,53,993,147.6000000000017
20,53,1020,147.6200000000017
41,57,1002,147.64000000000172
174,35,989,147.66000000000173
177,27,973,147.68000000000174
286,14,972,147.70000000000175
225,42,973,147.72000000000176
357,25,951,147.74000000000177
353,33,945,147.76000000000178
343,29,951,147.7800000000018
389,22,943,147.8000000000018
413,23,917,147.8200000000018
430,27,925,147.84000000000182
426,22,928,147.86000000000183
421,13,928,147.88000000000184
411,18,926,147.90000000000185
400,32,940,147.92000000000186
398,26,930,147.94000000000187
365,25,944,147.96000000000188
310,33,956,147.9800000000019
279,28,966,148.0000000000019
249,27,971,148.02000000000191
233,34,980,148.04000000000192
167,41,985,148.06000000000193
22,51,1010,148.08000000000195
48,60,1020,148.10000000000196
-14,70,1013,148.12000000000197
-21,37,1018,148.14000000000198
-92,83,1015,148.160000000002
-152,65,1000,148.180000000002
-184,74,984,148.200000000002
-202,88,993,148.22000000000202
-270,77,996,148.24000000000203
-334,93,986,148.26000000000204
-325,83,964,148.28000000000205
-333,82,966,148.30000000000206
-354,82,965,148.32000000000207
-364,95,953,148.34000000000208
-371,94,952,148.3600000000021
-406,95,959,148.3800000000021
-366,85,962,148.4000000000021
-347,93,964,148.42000000000212
-326,79,962,148.44000000000213
-300,70,976,148.46000000000214
-264,68,978,148.48000000000215
-239,61,977,148.50000000000216
-192,66,989,148.52000000000217
-163,73,1015,148.54000000000218
117,128,1057,148.5600000000022
-323,104,984,148.5800000000022
-65,59,1018,148.6000000000022
68,60,1009,148.62000000000222
97,46,1006,148.64000000000223
128,36,992,148.66000000000224
189,46,987,148.68000000000225
235,48,990,148.70000000000226
264,36,978,148.72000000000227
274,33,974,148.74000000000228
298,39,967,148.7600000000023
336,27,944,148.7800000000023
383,21,946,148.8000000000023
376,31,943,148.82000000000232
384,21,940,148.84000000000233
378,24,940,148.86000000000234
382,17,931,148.88000000000235
369,25,953,148.90000000000236
356,34,952,148.92000000000237
348,21,955,148.94000000000239
315,32,958,148.9600000000024
300,30,959,148.9800000000024
249,39,966,149.00000000000242
198,42,987,149.02000000000243
129,58,1000,149.04000000000244
115,75,1002,149.06000000000245
48,68,1011,149.08000000000246
11,61,1015,149.10000000000247
39,56,1006,149.12000000000248
-31,56,1004,149.1400000000025
-77,63,1007,149.1600000000025
-108,64,999,149.1800000000025
-148,60,997,149.20000000000252
-188,78,995,149.22000000000253
-182,55,972,149.24000000000254
-241,90,979,149.26000000000255
-309,87,978,149.28000000000256
-310,82,977,149.30000000000257
-289,97,979,149.32000000000258
-336,80,965,149.3400000000026
-321,85,963,149.3600000000026
-337,91,969,149.3800000000026
-320,88,975,149.40000000000262
-299,78,983,149.42000000000263
-274,77,981,149.44000000000264
-262,76,986,149.46000000000265
-231,75,990,149.48000000000266
-202,64,997,149.50000000000267
-142,68,1000,149.52000000000268
-128,65,997,149.5400000000027
-86,65,1009,149.5600000000027
-2,73,1011,149.5800000000027
17,45,1018,149.60000000000272
48,57,1005,149.62000000000273
51,48,1005,149.64000000000274
114,47,1002,149.66000000000275
194,46,996,149.68000000000276
225,33,993,149.70000000000277
238,41,994,149.72000000000278
242,49,988,149.7400000000028
274,42,973,149.7600000000028
290,37,964,149.78000000000281
340,22,959,149.80000000000283
336,30,956,149.82000000000284
335,25,956,149.84000000000285
343,27,958,149.86000000000286
341,29,960,149.88000000000287
336,23,958,149.90000000000288
305,28,974,149.9200000000029
289,33,969,149.9400000000029
270,32,967,149.9600000000029
249,31,975,149.98000000000292
198,26,987,150.00000000000293
175,38,991,150.02000000000294
132,53,993,150.04000000000295
73,55,1001,150.06000000000296
108,43,1002,150.08000000000297
20,46,1004,150.10000000000298
18,44,1011,150.120000000003
-42,42,1002,150.140000000003
-108,76,1016,150.160000000003
-108,68,999,150.18000000000302
-133,57,993,150.20000000000303
-239,63,1000,150.22000000000304
-163,69,993,150.24000000000305
-188,79,983,150.26000000000306
-249,81,987,150.28000000000307
-315,77,985,150.30000000000308
-275,81,980,150.3200000000031
-274,81,978,150.3400000000031
-268,74,977,150.3600000000031
-263,72,981,150.38000000000312
-270,96,994,150.40000000000313
-263,77,991,150.42000000000314
-239,71,983,150.44000000000315
-216,70,990,150.46000000000316
-187,68,997,150.48000000000317
-164,63,998,150.50000000000318
-123,67,990,150.5200000000032
-121,49,1009,150.5400000000032
-73,60,1004,150.5600000000032
261,41,1017,150.58000000000322
-40,68,1020,150.60000000000323
23,57,1030,150.62000000000324
116,45,986,150.64000000000325
127,42,1005,150.66000000000327
191,34,998,150.68000000000328
178,34,985,150.70000000000329
228,26,965,150.7200000000033
218,56,1000,150.7400000000033
247,36,977,150.76000000000332
280,35,973,150.78000000000333
299,29,963,150.80000000000334
298,28,967,150.82000000000335
304,27,968,150.84000000000336
291,30,967,150.86000000000337
295,29,975,150.88000000000338
289,28,980,150.9000000000034
269,32,972,150.9200000000034
256,35,977,150.9400000000034
208,42,984,150.96000000000342
181,35,987,150.98000000000343
155,43,990,151.00000000000344
145,46,998,151.02000000000345
150,16,985,151.04000000000346
78,30,1009,151.06000000000347
5,53,1012,151.08000000000348
-2,45,1011,151.1000000000035
-31,61,1009,151.1200000000035
-41,55,1014,151.1400000000035
-85,58,998,151.16000000000352
-144,74,1013,151.18000000000353
-188,79,1017,151.20000000000354
-140,56,1000,151.22000000000355
-217,59,995,151.24000000000356
-231,67,987,151.26000000000357
-247,83,993,151.28000000000358
-237,77,994,151.3000000000036
-230,79,989,151.3200000000036
-243,71,982,151.3400000000036
-230,75,991,151.36000000000362
-69,77,985,151.38000000000363
-215,74,981,151.40000000000364
-215,78,996,151.42000000000365
-198,69,991,151.44000000000366
-178,65,996,151.46000000000367
-154,57,1002,151.48000000000368
-133,55,1004,151.5000000000037
-103,62,1009,151.5200000000037
-90,55,1015,151.54000000000372
8,7,1003,151.56000000000373
192,7,973,151.58000000000374
33,55,1006,151.60000000000375
66,46,1007,151.62000000000376
83,44,1003,151.64000000000377
141,44,998,151.66000000000378
166,46,995,151.6800000000038
183,48,998,151.7000000000038
195,44,984,151.7200000000038
227,32,987,151.74000000000382
225,37,979,151.76000000000383
267,32,978,151.78000000000384
271,35,976,151.80000000000385
266,34,977,151.82000000000386
261,33,977,151.84000000000387
276,20,977,151.86000000000388
260,30,973,151.8800000000039
244,35,983,151.9000000000039
223,37,986,151.9200000000039
202,31,991,151.94000000000392
166,41,993,151.96000000000393
162,41,1006,151.98000000000394
149,38,993,152.00000000000395
143,22,998,152.02000000000396
91,36,1003,152.04000000000397
48,51,1004,152.06000000000398
29,62,1012,152.080000000004
-44,61,1018,152.100000000004
-41,62,1019,152.120000000004
-59,60,1013,152.14000000000402
-81,51,1016,152.16000000000403
-116,58,993,152.18000000000404
