xAccl,yAccl,zAccl,time
-265,58,925,1742476838.0788097
-508,77,881,1742476838.1289475
-573,75,872,1742476838.1806383
-635,69,860,1742476838.228416
-399,105,917,1742476838.2828145
-417,64,940,1742476838.3314195
-230,61,975,1742476838.3847814
-63,33,995,1742476838.4322698
127,36,994,1742476838.4872766
255,32,959,1742476838.5281448
437,42,924,1742476838.5893285
539,27,870,1742476838.639961
562,29,848,1742476838.6906514
637,20,854,1742476838.7414684
502,21,895,1742476838.7928069
432,12,912,1742476838.843982
261,34,967,1742476838.8945866
96,20,983,1742476838.9447796
-106,65,1001,1742476838.9958925
-179,66,959,1742476839.0459192
-394,62,956,1742476839.0956752
-430,75,911,1742476839.1480663
-559,73,895,1742476839.1959677
-498,90,896,1742476839.2464266
-476,62,910,1742476839.2962165
-363,54,951,1742476839.3465204
-244,60,991,1742476839.397302
-69,66,1011,1742476839.4527612
142,50,992,1742476839.496017
278,43,963,1742476839.5475793
398,34,917,1742476839.5973306
489,31,899,1742476839.6462533
538,30,878,1742476839.6961665
522,25,877,1742476839.761493
467,33,914,1742476839.8129864
315,35,924,1742476839.8613615
201,51,989,1742476839.9134789
37,36,1009,1742476839.962666
-136,91,1007,1742476840.013685
-405,74,995,1742476840.0624285
-499,18,925,1742476840.1123805
-480,66,915,1742476840.163448
-507,64,905,1742476840.2134416
-552,51,898,1742476840.262453
-400,56,935,1742476840.3133147
-326,47,966,1742476840.3630097
-206,48,984,1742476840.4133778
-2,51,1007,1742476840.4637206
158,40,985,1742476840.5269177
301,41,964,1742476840.578353
386,38,936,1742476840.629346
468,29,911,1742476840.6793654
488,33,899,1742476840.729458
467,33,911,1742476840.77914
358,41,950,1742476840.830148
368,3,952,1742476840.882765
160,41,996,1742476840.9330647
65,38,990,1742476840.9800732
-120,37,987,1742476841.028947
-295,49,971,1742476841.088191
-423,54,938,1742476841.1310043
-556,84,943,1742476841.1789713
-460,64,908,1742476841.2279036
-427,66,929,1742476841.2915819
-368,50,939,1742476841.343481
-261,55,980,1742476841.3939667
-273,61,995,1742476841.4453897
56,43,1005,1742476841.4951122
166,24,978,1742476841.5460558
306,29,961,1742476841.594525
387,36,942,1742476841.644445
447,26,913,1742476841.6943567
446,35,913,1742476841.744559
419,31,935,1742476841.7938697
268,65,974,1742476841.8460085
223,52,973,1742476841.894005
68,19,1000,1742476841.9503446
-31,71,997,1742476841.9939957
-172,30,999,1742476842.0442476
-273,61,973,1742476842.096538
-401,61,940,1742476842.145302
-513,73,932,1742476842.2099583
-425,64,937,1742476842.2614193
-405,44,939,1742476842.310715
-324,58,970,1742476842.3613985
-230,46,987,1742476842.4105613
-61,48,994,1742476842.464645
52,45,1008,1742476842.5159516
195,45,986,1742476842.5614324
296,41,969,1742476842.6177673
375,32,946,1742476842.661517
414,26,923,1742476842.7125406
354,52,923,1742476842.7713993
276,59,949,1742476842.8107324
287,29,972,1742476842.8725824
231,19,975,1742476842.9126425
65,50,1019,1742476842.9753141
-164,82,1036,1742476843.0165424
-189,40,1000,1742476843.0774782
-288,56,969,1742476843.1281276
-364,60,963,1742476843.1790903
-389,46,948,1742476843.2302773
-243,66,988,1742476843.2809887
-327,67,981,1742476843.328169
-245,65,986,1742476843.3833346
-178,58,1007,1742476843.4343371
-4,51,1017,1742476843.4845066
131,39,997,1742476843.535906
226,48,995,1742476843.5865526
303,34,955,1742476843.6300437
365,35,942,1742476843.680867
383,29,935,1742476843.7395642
393,38,954,1742476843.7909567
320,30,962,1742476843.8416786
184,17,967,1742476843.8928375
158,42,991,1742476843.9435313
53,40,1001,1742476843.993652
-134,58,1025,1742476844.0437348
-255,72,995,1742476844.0940378
-300,45,975,1742476844.1438582
-372,56,959,1742476844.1989865
-345,57,961,1742476844.2500064
-336,47,978,1742476844.3006663
-288,54,973,1742476844.3515348
-224,50,992,1742476844.3968022
-83,44,1003,1742476844.4538083
6,34,1002,1742476844.5049624
137,51,993,1742476844.5552053
201,35,983,1742476844.5942204
333,31,963,1742476844.6439614
332,30,959,1742476844.708916
339,32,957,1742476844.7595124
285,7,934,1742476844.8105454
251,33,976,1742476844.86155
187,23,984,1742476844.9125707
93,33,1008,1742476844.9639091
-19,40,1002,1742476845.0142066
-123,38,994,1742476845.066392
-222,55,980,1742476845.1103516
-305,54,974,1742476845.167494
-304,44,973,1742476845.219158
-311,55,974,1742476845.269974
-277,57,977,1742476845.3103588
-240,59,991,1742476845.3723779
-146,47,996,1742476845.4102013
-20,40,1011,1742476845.4742336
53,40,1004,1742476845.514543
183,48,1005,1742476845.5759473
257,34,984,1742476845.6266692
292,34,968,1742476845.6765995
303,38,962,1742476845.726756
296,42,980,1742476845.7765694
313,33,953,1742476845.8269312
184,26,978,1742476845.876539
92,19,995,1742476845.926823
54,31,1009,1742476845.9833562
-104,54,1028,1742476846.0302465
-184,59,1024,1742476846.0835397
-211,52,987,1742476846.1266541
-302,55,981,1742476846.1838775
-297,57,976,1742476846.2324588
-263,57,977,1742476846.283973
-217,54,991,1742476846.3335006
-177,50,1002,1742476846.3924747
-79,46,1009,1742476846.4424863
-9,41,1006,1742476846.4933968
136,33,998,1742476846.5450263
150,45,997,1742476846.593266
256,32,979,1742476846.6467626
281,39,978,1742476846.6943479
273,35,977,1742476846.7433164
258,43,976,1742476846.793867
166,44,1002,1742476846.8435879
141,30,995,1742476846.893147
40,51,1021,1742476846.9461925
-41,50,1019,1742476846.9997892
-73,36,996,1742476847.0490115
-180,49,1006,1742476847.0931847
-191,54,997,1742476847.153353
-204,35,979,1742476847.1991425
-246,50,982,1742476847.2590427
-211,58,1000,1742476847.3100846
-172,53,1012,1742476847.361239
-101,48,1006,1742476847.4121838
-32,47,1018,1742476847.4632607
48,44,995,1742476847.5142305
115,42,994,1742476847.5644372
146,43,1007,1742476847.6154792
244,33,984,1742476847.6656427
245,39,983,1742476847.7180054
230,34,979,1742476847.7598689
255,25,978,1742476847.8102999
161,32,997,1742476847.8664384
119,15,999,1742476847.9157653
33,30,1016,1742476847.965635
-57,41,1012,1742476848.0233197
-136,54,1001,1742476848.07519
-179,47,996,1742476848.1264377
-230,48,996,1742476848.176474
-221,53,997,1742476848.227626
-211,51,996,1742476848.2785623
-198,54,1007,1742476848.3296046
-116,49,1001,1742476848.380518
-44,47,1013,1742476848.4319055
-16,41,1011,1742476848.4829226
69,45,1006,1742476848.5325193
130,35,997,1742476848.5843308
143,40,992,1742476848.6324747
202,32,990,1742476848.686872
206,39,991,1742476848.7333138
198,32,995,1742476848.7871525
159,30,991,1742476848.8330612
107,28,996,1742476848.8873663
38,43,1011,1742476848.942052
1,39,1013,1742476848.9930336
-98,43,1013,1742476849.0431337
-123,48,1004,1742476849.0953496
-169,47,1001,1742476849.1434176
-179,44,999,1742476849.193086
-184,51,1002,1742476849.2431688
-148,54,1012,1742476849.2934115
-121,52,1009,1742476849.3427112
-85,51,1014,1742476849.3934708
-5,44,1012,1742476849.447353
34,35,1013,1742476849.4924235
97,44,1009,1742476849.542853
131,37,1009,1742476849.5999951
157,35,995,1742476849.6432693
183,41,990,1742476849.6925972
169,35,1001,1742476849.743163
142,34,1000,1742476849.8085625
100,33,997,1742476849.85988
60,40,1012,1742476849.9093943
14,40,1010,1742476849.9610207
-48,50,1008,1742476850.0096188
-83,32,1004,1742476850.064327
-135,48,1007,1742476850.1098623
-149,46,1001,1742476850.1663375
-158,51,1010,1742476850.2098897
-161,45,1008,1742476850.2681358
-110,50,1010,1742476850.309465
-83,49,1019,1742476850.3700442
-23,42,1010,1742476850.4092803
2,40,1009,1742476850.4721615
53,42,1013,1742476850.5091314
104,34,1001,1742476850.572945
119,44,1000,1742476850.624945
131,38,1002,1742476850.6755986
139,36,1005,1742476850.7255955
116,44,1008,1742476850.7759085
97,41,1013,1742476850.825493
66,35,1003,1742476850.8760214
23,40,1016,1742476850.9264467
4,32,1001,1742476850.9763856
-65,49,1024,1742476851.0261018
-82,43,1007,1742476851.0759559
-111,46,1006,1742476851.1268086
-118,49,1013,1742476851.1757016
-125,46,1008,1742476851.226159
-92,51,1013,1742476851.276206
-71,48,1018,1742476851.325881
-47,50,1021,1742476851.3903563
-4,43,1011,1742476851.4408615
34,40,1017,1742476851.4915059
65,46,1014,1742476851.542505
81,39,1008,1742476851.5923078
102,42,1014,1742476851.6424246
104,45,1007,1742476851.6923506
151,41,1004,1742476851.7428875
80,39,1021,1742476851.79205
52,36,1009,1742476851.8424215
24,34,1009,1742476851.8931274
28,33,1008,1742476851.9463563
-58,53,1033,1742476851.9927943
-67,45,1014,1742476852.0425603
-78,43,1008,1742476852.0924098
-84,46,1004,1742476852.1425326
-86,45,1009,1742476852.1956432
-119,43,1007,1742476852.2571847
-62,47,1013,1742476852.308044
-34,46,1018,1742476852.3584132
-40,49,1015,1742476852.4095423
11,38,1009,1742476852.4612882
53,38,999,1742476852.5093737
49,44,1011,1742476852.5618486
69,40,1013,1742476852.6088676
73,40,1012,1742476852.6635704
66,35,1015,1742476852.712461
45,41,1014,1742476852.7656453
52,36,1010,1742476852.8090873
20,38,1014,1742476852.8678327
-4,42,1016,1742476852.9092603
-30,35,1014,1742476852.9695258
-46,46,1012,1742476853.0093968
-50,41,1022,1742476853.0732656
-51,44,1014,1742476853.1095428
-57,45,1013,1742476853.174457
-52,46,1013,1742476853.2263362
-55,37,1016,1742476853.2754376
-31,45,1022,1742476853.3255591
-2,41,1008,1742476853.3755658
14,40,1006,1742476853.426105
28,35,1013,1742476853.4761932
36,43,1013,1742476853.5253994
38,45,1013,1742476853.5754142
44,43,1014,1742476853.6253924
38,40,1016,1742476853.6754975
28,39,1014,1742476853.7257054
23,40,1021,1742476853.7752848
8,40,1015,1742476853.8258111
-7,40,1013,1742476853.8755214
-8,40,1013,1742476853.9260645
-23,40,1025,1742476853.9753618
-21,44,1011,1742476854.0410326
-29,38,1020,1742476854.0917096
-24,38,1020,1742476854.1418924
-16,44,1003,1742476854.1939888
-7,42,1007,1742476854.2419994
5,44,1023,1742476854.2943335
2,43,1025,1742476854.3420043
5,44,1016,1742476854.394261
6,44,1023,1742476854.4458554
15,45,1011,1742476854.494215
20,41,1014,1742476854.5423863
13,42,1021,1742476854.5940967
11,46,1014,1742476854.6425085
5,42,1020,1742476854.6940987
-3,40,1016,1742476854.7426915
-4,42,1009,1742476854.7941642
-3,42,1011,1742476854.8575566
-4,39,1010,1742476854.908437
-7,38,1009,1742476854.9590738
-2,40,1018,1742476855.00838
-1,41,1020,1742476855.0610511
3,44,1013,1742476855.108543
10,44,1015,1742476855.1635182
2,43,1013,1742476855.2086797
7,41,1016,1742476855.2654617
11,44,1017,1742476855.3078797
